Project Owner,Project Name,Species,Active Tags,Project Link,Project Id
UFL Wading Bird Research Group,Wood Stork Telemetry Project,Wood Stork,6,http://www.seaturtle.org/tracking/?project_id=159,159
NOAA Southwest Fisheries Science Center,Iniciativa Carey del Pacifico Oriental - ICAPO - Eastern Pacific Hawksbill Initiative,Hawksbill,2,http://www.seaturtle.org/tracking/?project_id=295,295
The Center for Conservation Biology,"Bald and Golden Eagles of the Chesapeake Bay, USA",Golden Eagle,2,http://www.seaturtle.org/tracking/?project_id=349,349
The Center for Conservation Biology,Whimbrel Tracking in the Americas,Whimbrel,4,http://www.seaturtle.org/tracking/?project_id=369,369
Marine Conservation Society,Turks and Caicos Islands Turtle Project 2009 to 2018: Green & Hawksbill Turtles,Green Turtle,2,http://www.seaturtle.org/tracking/?project_id=398,398
USGS Greater Everglades Sea Turtles,Dry Tortugas Sea Turtles,Loggerhead,5,http://www.seaturtle.org/tracking/?project_id=402,402
ProCTMM,Caribbean Colombian Sea Turtle Satellite Tracking,Loggerhead,1,http://www.seaturtle.org/tracking/?project_id=471,471
Kentucky Dept of Fish & Wildlife,Kentucky Bald Eagles,Bald Eagle,1,http://www.seaturtle.org/tracking/?project_id=506,506
Marymount University & HawksbillHope,Hawksbill Hope & Marymount University,Hawksbill,4,http://www.seaturtle.org/tracking/?project_id=650,650
"Merrill Creek Reservoir,NJ, USA","Merrill Creek Reservoir, NJ, USA, Bald Eagles",Bald Eagle,1,http://www.seaturtle.org/tracking/?project_id=653,653
NPS and USGS,Buck Island Turtles,Hawksbill,1,http://www.seaturtle.org/tracking/?project_id=663,663
Avian Research and Conservation Inst,"Swallow-tailed Kite roost sites, migration, and conservation opportunities",Swallow-tailed Kite,2,http://www.seaturtle.org/tracking/?project_id=665,665
Dubai Turtle Rehabilitation Project,Dubai Turtle Rehabilitation Project,Loggerhead,3,http://www.seaturtle.org/tracking/?project_id=687,687
Center for Conservation Biology,Crowned Eagles of Argentina,Crowned Solitary Eagle,10,http://www.seaturtle.org/tracking/?project_id=701,701
Avian Research and Conservation Inst,"Breeding and foraging ecology, threats, and causes of decline of Reddish Egrets in Florida",Reddish Egret,3,http://www.seaturtle.org/tracking/?project_id=723,723
Avian Research and Conservation Inst,Movements of Magnificent Frigatebirds from communal roosts and nest sites in the Florida Keys,Magnificent Frigatebird,1,http://www.seaturtle.org/tracking/?project_id=724,724
WWF LAC Species Program,WWF Sea Turtle Satellite Tracking in Latin America and the Caribbean,Hawksbill,1,http://www.seaturtle.org/tracking/?project_id=791,791
Washington Dept. of Fish & Wildlife,Skagit Valley / Wrangel Island Snow Goose,"Snow Goose, Blue Goose",3,http://www.seaturtle.org/tracking/?project_id=831,831
Intermountain Bird Observatory,Migration of Long-billed Curlews from the Intermountain West,Long-billed Curlew,4,http://www.seaturtle.org/tracking/?project_id=851,851
Department of Parks and Wildlife,Western Australia rehabilitated turtles,Loggerhead,14,http://www.seaturtle.org/tracking/?project_id=879,879
Red Tortuguera A.C.,Tortugas carey en el Pacifico Mexicano.,Hawksbill,3,http://www.seaturtle.org/tracking/?project_id=916,916
Avian Research and Conservation Inst,Contributions of satellite telemetry to the conservation of White-crowned Pigeons throughout the Caribbean,White-crowned Pigeon,2,http://www.seaturtle.org/tracking/?project_id=919,919
GA Department of Natural Resources,Georgia Whimbrels,Whimbrel,1,http://www.seaturtle.org/tracking/?project_id=952,952
Loggerhead Marinelife Center,LMC Tracking,Loggerhead,1,http://www.seaturtle.org/tracking/?project_id=970,970
Washington Department of Fish and Wildlife Marine Mammal Investigations,Salish sea harbor seal foraging study 2014,Harbor Seal,1,http://www.seaturtle.org/tracking/?project_id=986,986
Canadian Wildlife Service,Mackenzie Delta Shorebirds,Whimbrel,3,http://www.seaturtle.org/tracking/?project_id=1002,1002
Israel Nature and Parks Authrity,Israel's sea turtle monitoring program,Loggerhead,5,http://www.seaturtle.org/tracking/?project_id=1003,1003
USGS,Everglades Loggerheads,Loggerhead,1,http://www.seaturtle.org/tracking/?project_id=1018,1018
Canadian Wildlife Service,Black-bellied Plover Tracking (Canada),Black-bellied Plover,3,http://www.seaturtle.org/tracking/?project_id=1020,1020
HABITAT USE BY OLIVE RIDLEY NESTING FEMALES AND MALES,USO DE HÁBITAT DE HEMBRAS ANIDADORAS DE TORTUGA GOLFINA / HABITAT USE BY OLIVE RIDLEY NESTING FEMALES,Olive Ridley,2,http://www.seaturtle.org/tracking/?project_id=1034,1034
WA Dept. Parks and Wildlife,Eighty Mile Beach flatbacks,Flatback Turtle,1,http://www.seaturtle.org/tracking/?project_id=1053,1053
Projeto Tamar-ICMBio - PGS,"Hawksbill Turtle Constellation - Rio Grande do Norte, Brazil, 2015",Hawksbill,1,http://www.seaturtle.org/tracking/?project_id=1081,1081
CSIRO and BHP Billiton,Ningaloo Outlook turtle tracking,Green Turtle,4,http://www.seaturtle.org/tracking/?project_id=1101,1101
CSIRO & BHP,Ningaloo Outlook Whale Shark tracking,Whale Shark,1,http://www.seaturtle.org/tracking/?project_id=1112,1112
WA Dept Parks and Wildlife,Cape Domett flatbacks,Flatback Turtle,1,http://www.seaturtle.org/tracking/?project_id=1120,1120
"Department of Parks and Wildlife, WA",Rosemary Island hawksbill turtles,Hawksbill,2,http://www.seaturtle.org/tracking/?project_id=1136,1136
NSW Department of Primary Industries,Fisheries NSW shark tracking,White Shark,11,http://www.seaturtle.org/tracking/?project_id=1141,1141
Seguimiento de juveniles de Tortuga boba,Tracking small loggerheads from spanish nests,Loggerhead,4,http://www.seaturtle.org/tracking/?project_id=1143,1143
Gnaraloo Wilderness Foundation,Western Australian Loggerheads - Gnaraloo Bay and Gnaraloo Cape Farquhar  2015-2018,Loggerhead,2,http://www.seaturtle.org/tracking/?project_id=1149,1149
Department of Parks and Wildlife,Montebello Islands Marine Park,Hawksbill,3,http://www.seaturtle.org/tracking/?project_id=1175,1175
Megaptera,SharkyDJ - Requins baleines Djibouti,Whale Shark,1,http://www.seaturtle.org/tracking/?project_id=1179,1179
Dept. Parks & Wildlife,Thevenard Island - Flatbacks,Flatback Turtle,1,http://www.seaturtle.org/tracking/?project_id=1181,1181
Padre Island National Seashore Kemp's Ridley Tracking Program,Padre Island National Seashore Kemp's Ridley Tracking Program-2016,Kemp's Ridley,4,http://www.seaturtle.org/tracking/?project_id=1195,1195
Padre Island National Seashore Kemp's Ridley Tracking Program,"Veracruz, Mexico Kemp's Ridley Tracking-2016",Kemp's Ridley,3,http://www.seaturtle.org/tracking/?project_id=1196,1196
Padre Island National Seashore Kemp's Ridley Tracking Program,"Rancho Nuevo, Mexico Kemp's Ridley Tracking-2016",Kemp's Ridley,4,http://www.seaturtle.org/tracking/?project_id=1197,1197
Emirates Nature - WWF,Gulf Green Turtle Project 2016-2019,Green Turtle,11,http://www.seaturtle.org/tracking/?project_id=1199,1199
The Center for Conservation Biology,Whimbrel Tracking on the Acadian Peninsula,Whimbrel,3,http://www.seaturtle.org/tracking/?project_id=1201,1201
DomSeTCO/Oceans Forward,Sea Turtles of Dominica,Basking Shark,1,http://www.seaturtle.org/tracking/?project_id=1209,1209
Dept. Parks & Wildlife- W. Australia,Kimberley - flatbacks,Flatback Turtle,4,http://www.seaturtle.org/tracking/?project_id=1232,1232
Padre Island National Seashore Kemp's Ridley Tracking Program,Padre Island National Seashore Kemp's Ridley Tracking Program-2017,Kemp's Ridley,7,http://www.seaturtle.org/tracking/?project_id=1260,1260
Padre Island National Seashore Kemp's Ridley Tracking Program,"Veracruz, Mexico Kemp's Ridley Tracking-2017",Kemp's Ridley,14,http://www.seaturtle.org/tracking/?project_id=1264,1264
Marine Turtle Research Group,North Cyprus 2017,Loggerhead,3,http://www.seaturtle.org/tracking/?project_id=1265,1265
UC Santa Cruz,"Northern Elephant Seals Post-Molting 2017 Guadalupe Island, Mexico",Northern Elephant Seal,2,http://www.seaturtle.org/tracking/?project_id=1268,1268
Dubai Turtle Rehabilitation Project,Dubai Turtle Rehabilitation Project,Hawksbill,2,http://www.seaturtle.org/tracking/?project_id=1275,1275
Islameta Group - Dekamer,Dalyan turtles 2017,Loggerhead,1,http://www.seaturtle.org/tracking/?project_id=1277,1277
Dept. Parks and Wildlife,Montgomery Reef green turtles,Green Turtle,2,http://www.seaturtle.org/tracking/?project_id=1282,1282
LIFE IP INTEMARES-UPV,"Seguimiento de 10 crías de tortuga boba nacidas en 2016 en el litoral valenciano, en el marco del Proyecto LIFE 15 IPE ES 012",Loggerhead,8,http://www.seaturtle.org/tracking/?project_id=1286,1286
Tras la Ruta de La Tortuga Golfina,Tras la Ruta de Las Tortugas Golfinas.....ZIVA...2017  !!!!,Olive Ridley,1,http://www.seaturtle.org/tracking/?project_id=1290,1290
MarAlliance,Megafauna tracking in the Eastern Tropical Atlantic,Whale Shark,2,http://www.seaturtle.org/tracking/?project_id=1291,1291
DBCA,Pilbara - flatbacks,Flatback Turtle,3,http://www.seaturtle.org/tracking/?project_id=1294,1294
"USFWS, BOEM. ARCI",Tracking Common Tern Migration,Common Tern,2,http://www.seaturtle.org/tracking/?project_id=1296,1296
Sandy Cape Turtle Volunteers,Queensland:  K'gari (Fraser Island) nesting Green and Loggerhead turtles 2017-18,Green Turtle,7,http://www.seaturtle.org/tracking/?project_id=1297,1297
University of Exeter,Cyprus 2018,Loggerhead,2,http://www.seaturtle.org/tracking/?project_id=1298,1298
James Cook University,Raine Island Recovery Project - green turtle satellite tracking,Green Turtle,2,http://www.seaturtle.org/tracking/?project_id=1303,1303
UC Santa Cruz,Northern elephant seals post-breeding 2018,Northern Elephant Seal,7,http://www.seaturtle.org/tracking/?project_id=1304,1304
ADS Biodiversidad,Juvenile loggerheads: Canary Islands reintroduction program,Loggerhead,5,http://www.seaturtle.org/tracking/?project_id=1310,1310
